player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Ezekiel Elliott,2023,NWE,28,184,1.6733,0.0418,-0.0436,-1.2865
Gus Edwards,2023,BAL,28,198,1.8785,0.0658,-0.2152,-0.5804
Isiah Pacheco,2023,KAN,24,205,1.866,0.0629,0.2204,-0.048
Jahmyr Gibbs,2023,DET,21,182,2.2085,0.0922,0.1203,1.2005
Jamaal Williams,2023,NOR,28,106,1.65,0.0512,-0.2258,-1.4368
James Conner,2023,ARI,28,208,2.0529,0.0911,0.0105,0.6293
James Cook,2023,BUF,24,237,1.9855,0.0508,0.1316,-0.0823
Javonte Williams,2023,DEN,23,217,1.8542,0.0703,-0.1697,-0.4986
Jaylen Warren,2023,PIT,25,149,2.128,0.1181,0.3611,1.7924
Jerome Ford,2023,CLE,24,204,1.863,0.0995,0.055,0.3568
Joe Mixon,2023,CIN,27,257,1.5907,0.0494,0.0917,-1.1715
Jonathan Taylor,2023,IND,24,169,2.3926,0.0878,-0.095,1.2888
Josh Jacobs,2023,LVR,25,233,1.9166,0.0676,-0.0612,-0.235
Joshua Kelley,2023,LAC,26,107,1.8719,0.0658,0.1147,-0.1315
Kareem Hunt,2023,CLE,28,135,1.6806,0.0453,-0.221,-1.4554
Kenneth Walker III,2023,SEA,23,219,1.7569,0.0801,0.0292,-0.2943
Khalil Herbert,2023,CHI,25,132,2.1125,0.0825,0.1742,0.8619
Kyren Williams,2023,LAR,23,228,1.9735,0.0869,0.3494,0.8324
Miles Sanders,2023,CAR,26,129,1.7953,0.0629,-0.0084,-0.5527
Najee Harris,2023,PIT,25,255,2.1236,0.0965,-0.2428,0.5469
Rachaad White,2023,TAM,24,272,1.5915,0.0454,0.1302,-1.1845
Raheem Mostert,2023,MIA,31,209,2.0982,0.0771,-0.1313,0.2968
Rhamondre Stevenson,2023,NWE,25,156,2.0838,0.0858,0.0044,0.6065
Saquon Barkley,2023,NYG,26,247,1.9183,0.0497,0.0399,-0.4024
Tony Pollard,2023,DAL,26,252,2.1368,0.0694,0.0885,0.5714
Travis Etienne,2023,JAX,24,267,1.7431,0.0921,0.1277,0.0227
Ty Chandler,2023,MIN,25,102,1.8797,0.057,0.1764,-0.1807
Tyjae Spears,2023,TEN,22,100,2.0055,0.064,0.1211,0.1867
Tyler Allgeier,2023,ATL,23,186,1.9622,0.0638,-0.1814,-0.3556
Zach Charbonnet,2023,SEA,22,108,1.9307,0.0786,-0.0202,0.0534
Zack Moss,2023,IND,26,183,1.9077,0.0475,0.2023,-0.2388
Zamir White,2023,LVR,24,104,2.0745,0.073,0.0062,0.3595
Aaron Jones,2024,MIN,30,255,2.1219,0.0562,0.1129,-0.123
Alexander Mattison,2024,LVR,26,132,1.8433,0.053,-0.1342,-1.2834
Alvin Kamara,2024,NOR,29,228,1.8504,0.0536,0.1604,-0.8114
Antonio Gibson,2024,NWE,26,120,2.2913,0.0777,0.0158,0.6153
Bijan Robinson,2024,ATL,22,304,2.2321,0.0727,0.1675,0.5856
Breece Hall,2024,NYJ,23,209,2.1509,0.057,0.0858,-0.072
Brian Robinson Jr.,2024,WAS,25,187,2.0918,0.0631,-0.0545,-0.3086
Bucky Irving,2024,TAM,22,207,2.4177,0.0633,0.1698,0.8782
Chase Brown,2024,CIN,24,229,1.9091,0.0857,0.069,-0.1351
Chuba Hubbard,2024,CAR,25,250,2.0763,0.0633,0.0992,-0.117
D'Andre Swift,2024,CHI,25,253,1.8805,0.0539,0.1038,-0.8129
David Montgomery,2024,DET,27,185,2.2299,0.0879,-0.378,0.0789
De'Von Achane,2024,MIA,23,203,2.2217,0.0593,0.3654,0.5771
Derrick Henry,2024,BAL,30,325,2.4804,0.1051,0.1124,1.8159
Devin Singletary,2024,NYG,27,113,1.885,0.0661,-0.004,-0.7099
Emanuel Wilson,2024,GNB,25,103,2.2112,0.0751,0.1659,0.5787
Gus Edwards,2024,LAC,29,101,2.119,0.0725,-0.2933,-0.4005
J.K. Dobbins,2024,LAC,26,195,2.3215,0.0956,0.1932,1.3281
Jahmyr Gibbs,2024,DET,22,250,2.337,0.0849,0.347,1.3776
Jaleel McLaughlin,2024,DEN,24,113,1.9872,0.0695,0.2259,-0.0298
James Conner,2024,ARI,29,236,2.2471,0.0928,-0.0402,0.728
James Cook,2024,BUF,25,207,2.1896,0.0595,0.1473,0.1725
Javonte Williams,2024,DEN,24,139,1.9107,0.0493,-0.1674,-1.232
Jaylen Warren,2024,PIT,26,120,2.1231,0.0986,0.3045,1.0401
Jerome Ford,2024,CLE,25,104,2.0301,0.0801,0.326,0.4484
Joe Mixon,2024,HOU,28,245,1.7993,0.0628,0.0539,-0.9152
Jonathan Taylor,2024,IND,25,303,2.073,0.0653,0.0719,-0.1232
Jordan Mason,2024,SFO,25,153,2.1983,0.0758,0.1747,0.5726
Josh Jacobs,2024,GNB,26,301,2.2111,0.0902,-0.0871,0.5097
Kareem Hunt,2024,KAN,29,200,1.7596,0.0431,-0.0961,-1.6475
