year,player,ngs_team,att,ryoe,ryoe_att
2025,Javonte Williams,DAL,252,156,0.62
2025,Saquon Barkley,PHI,280,76,0.28
2025,Travis Etienne,JAX,260,44,0.17
2025,D'Andre Swift,CHI,223,128,0.58
2025,Tony Pollard,TEN,242,113,0.47
2025,Rico Dowdle,CAR,236,146,0.63
2025,Breece Hall,NYJ,242,142,0.59
2025,Kenneth Walker III,SEA,221,39,0.18
2025,Chase Brown,CIN,232,78,0.34
2025,Ashton Jeanty,LV,266,-51,-0.19
2025,Jaylen Warren,PIT,211,181,0.86
2025,Josh Jacobs,GB,234,-7,-0.03
2025,TreVeyon Henderson,NE,180,149,0.85
2025,Quinshon Judkins,CLE,230,69,0.3
2025,Jacory Croskey-Merritt,WAS,175,138,0.79
2025,Kyle Monangai,CHI,169,47,0.29
2025,J.K. Dobbins,DEN,153,161,1.08
2025,Jordan Mason,MIN,159,158,1.02
2025,Blake Corum,LAR,145,123,0.85
2025,Tyrone Tracy,NYG,176,15,0.09
2025,Zach Charbonnet,SEA,184,59,0.33
2025,David Montgomery,DET,158,125,0.8
2025,Woody Marks,HOU,196,31,0.16
2025,Kimani Vidal,LAC,155,75,0.5
2025,Kareem Hunt,KC,163,18,0.11
2025,Rhamondre Stevenson,NE,130,176,1.36
2025,Bucky Irving,TB,173,-126,-0.74
2025,Rachaad White,TB,132,-28,-0.22
2025,Aaron Jones,MIN,132,-15,-0.12
2025,Omarion Hampton,LAC,124,82,0.66
2025,R.J. Harvey,DEN,146,-91,-0.64
2025,Kenneth Gainwell,PIT,114,63,0.58
2025,Tyler Allgeier,ATL,143,-25,-0.18
2025,Chuba Hubbard,CAR,134,-39,-0.3
2025,Nick Chubb,HOU,122,64,0.54
2025,Chris Rodriguez,WAS,112,78,0.7
2025,Emanuel Wilson,GB,125,-27,-0.21
2025,Alvin Kamara,NO,131,-95,-0.73
2025,Isiah Pacheco,KC,118,-48,-0.41
2025,Devin Singletary,NYG,119,-21,-0.18
2025,Cam Skattebo,NYG,101,43,0.43
2025,Brian Robinson,SF,92,-6,-0.06
2025,Michael Carter,AZ,92,-68,-0.76
