year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2022,Kenyan Drake,BAL,28,109,1.1651,0,3.2569,0.0366,-0.549
2022,Damien Harris,NWE,25,106,1.4906,0.0472,2.8679,-0.0106,-0.3392
2023,Derrick Henry,TEN,29,280,2.1464,0.0821,2.0214,-0.0882,-0.0906
2023,Christian McCaffrey,SFO,27,272,2.2279,0.0551,3.136,0.3167,0.3589
2023,Rachaad White,TAM,24,272,1.4559,0.0331,2.1838,0.1588,0.2203
2023,Travis Etienne,JAX,24,267,1.6292,0.1161,2.1461,0.1461,0.2892
2023,Joe Mixon,CIN,27,257,1.4125,0.0389,2.6109,0.1675,-0.0458
2023,Najee Harris,PIT,25,255,2.4235,0.1176,1.6353,-0.4538,-0.4437
2023,Tony Pollard,DAL,26,252,2.0238,0.0754,1.9643,0.0481,0.1367
2023,Saquon Barkley,NYG,26,247,1.9514,0.0486,1.9433,0.1312,0.3099
2023,Chuba Hubbard,CAR,24,238,1.8277,0.0714,1.9622,0.117,0.1679
2023,James Cook,BUF,24,237,2.0338,0.0338,2.7004,0.1991,0.3037
2023,Josh Jacobs,LVR,25,233,1.5193,0.0429,1.9356,-0.1262,-0.4102
2023,D'Andre Swift,PHI,24,229,1.7773,0.0917,2.8035,0.1436,0.1273
2023,Kyren Williams,LAR,23,228,2.0132,0.1009,3.0044,0.6107,0.7857
2023,Breece Hall,NYJ,22,223,2.2152,0.0852,2.2422,0.0703,0.3449
2023,David Montgomery,DET,26,219,2.3014,0.0776,2.3333,-0.1466,-0.18
2023,Kenneth Walker III,SEA,23,219,1.5799,0.1005,2.5525,0.057,-0.0308
2023,Javonte Williams,DEN,23,217,1.7143,0.0507,1.8525,-0.318,-0.543
2023,Devin Singletary,HOU,26,216,1.6111,0.0463,2.5463,0.5138,0.5016
2023,Bijan Robinson,ATL,21,214,1.9065,0.0701,2.6542,0.4764,0.4719
2023,Raheem Mostert,MIA,31,209,2.2249,0.0766,2.6172,-0.3904,-0.6705
2023,James Conner,ARI,28,208,2.2067,0.1298,2.7933,0.1089,0.236
2023,Isiah Pacheco,KAN,24,205,1.878,0.0732,2.6829,0.2458,0.4886
2023,Jerome Ford,CLE,24,204,1.799,0.1275,2.1863,0.0584,0.0667
2023,Gus Edwards,BAL,28,198,1.8283,0.0606,2.2626,-0.4846,-0.5684
2023,Tyler Allgeier,ATL,23,186,1.9516,0.0806,1.7204,-0.4573,-0.4168
2023,Ezekiel Elliott,NWE,28,184,1.587,0.0272,1.9022,0.047,-0.2295
2023,Zack Moss,IND,26,183,1.8852,0.0219,2.4536,0.367,-0.005
2023,Jahmyr Gibbs,DET,21,182,2.5165,0.1154,2.6758,0.1959,0.3776
2023,Alvin Kamara,NOR,28,180,1.5944,0.0389,2.2611,0.3071,0.3326
2023,Alexander Mattison,MIN,25,180,1.7333,0.0278,2.1556,-0.1583,-0.148
2023,Austin Ekeler,LAC,28,179,1.676,0.0503,1.8324,0.0465,0.0374
2023,AJ Dillon,GNB,25,178,1.6966,0.0281,1.7472,-0.3887,-0.6241
2023,Brian Robinson Jr.,WAS,24,178,1.9438,0.0899,2.1742,-0.0171,-0.1404
2023,Jonathan Taylor,IND,24,169,2.6864,0.0828,1.6982,-0.3883,0.0409
2023,Rhamondre Stevenson,NWE,25,156,2.0705,0.0705,1.8974,0.0423,0.2493
2023,Jaylen Warren,PIT,25,149,2.396,0.1812,2.8658,0.7767,0.7593
2023,Dameon Pierce,HOU,23,145,1.6276,0.0828,1.2414,-0.7911,-0.7869
2023,Aaron Jones,GNB,29,142,2.2465,0.0775,2.3732,0.2374,0.5518
2023,Kareem Hunt,CLE,28,135,1.2963,0.0148,1.7481,-0.3798,-0.8742
2023,Khalil Herbert,CHI,25,132,2.1364,0.0985,2.4924,-0.0133,0.3873
2023,Miles Sanders,CAR,26,129,1.7364,0.062,1.6124,-0.2327,-0.2732
2023,D'Onta Foreman,CHI,27,109,1.5138,0.0642,2.3853,-0.1204,-0.3424
2023,Zach Charbonnet,SEA,22,108,1.9352,0.0926,2.3426,-0.153,0.1146
2023,Joshua Kelley,LAC,26,107,1.7664,0.0561,2.0187,0.2328,0.3141
2023,Jamaal Williams,NOR,28,106,1.4151,0.0283,1.4717,-0.4823,-0.6362
2023,Zamir White,LVR,24,104,2.3558,0.0769,1.9808,-0.081,0.4714
2023,De'Von Achane,MIA,22,103,3.068,0.1262,4.699,1.6915,2.2544
2023,Ty Chandler,MIN,25,102,1.7843,0.0294,2.7353,0.4214,0.4827
2023,Tyjae Spears,TEN,22,100,2.16,0.05,2.37,0.2603,0.2715
2024,Saquon Barkley,PHI,27,345,1.9623,0.0551,3.8493,0.4563,0.5489
2024,Derrick Henry,BAL,30,325,2.7969,0.1292,3.1138,0.2776,0.344
2024,Kyren Williams,LAR,24,316,1.9177,0.0854,2.193,-0.0463,0.0604
2024,Bijan Robinson,ATL,22,304,2.3947,0.0757,2.3947,0.1282,0.0934
2024,Jonathan Taylor,IND,25,303,1.8878,0.0495,2.835,0.2084,0.265
2024,Josh Jacobs,GNB,26,301,2.4485,0.1163,1.9668,-0.1364,-0.134
2024,Najee Harris,PIT,26,263,2.057,0.0837,1.9087,-0.0795,-0.0906
2024,Tony Pollard,TEN,27,260,2.1462,0.0846,2.0038,0.0801,0.0764
2024,Aaron Jones,MIN,30,255,2.0549,0.0431,2.4078,0.0745,0.1876
2024,D'Andre Swift,CHI,25,253,1.7708,0.0277,2.0198,0.1275,0.249
2024,Jahmyr Gibbs,DET,22,250,2.396,0.084,3.252,0.5993,0.7066
2024,Chuba Hubbard,CAR,25,250,2.156,0.056,2.624,0.1298,0.2391
2024,Joe Mixon,HOU,28,245,1.9061,0.0776,2.2408,0.014,-0.2629
2024,James Conner,ARI,29,236,2.3983,0.1017,2.2373,-0.1697,-0.3321
2024,Rico Dowdle,DAL,26,235,2.166,0.0468,2.4255,0.2637,0.4499
2024,Chase Brown,CIN,24,229,1.7074,0.1004,2.6157,0.0991,0.2567
2024,Alvin Kamara,NOR,29,228,1.7632,0.057,2.4035,0.2139,0.2069
2024,Breece Hall,NYJ,23,209,2.1244,0.0335,2.067,0.1304,0.0101
2024,James Cook,BUF,25,207,2.314,0.0676,2.5604,0.1975,0.265
